頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
615,TW0003588000,3588,通嘉,上市,股票,半導體業,2009/8/14,ESVUFR,
616,TW0003591004,3591,艾笛森,上市,股票,光電業,2010/11/12,ESVUFR,
617,TW0003592002,3592,瑞鼎,上市,股票,半導體業,2022/1/7,ESVUFR,
618,TW0003593000,3593,力銘,上市,股票,電子零組件業,2009/3/16,ESVUFR,
619,TW0003596003,3596,智易,上市,股票,通信網路業,2009/3/11,ESVUFR,
620,TW0003605002,3605,宏致,上市,股票,電子零組件業,2009/3/26,ESVUFR,
621,TW0003607008,3607,谷崧,上市,股票,電子零組件業,2009/10/28,ESVUFR,
622,TW0003617007,3617,碩天,上市,股票,其他電子業,2009/12/23,ESVUFR,
623,TW0003622007,3622,洋華,上市,股票,光電業,2009/3/25,ESVUFR,
624,TW0003645008,3645,達邁,上市,股票,電子零組件業,2011/10/5,ESVUFR,
625,TW0003652004,3652,精聯,上市,股票,電腦及週邊設備業,2022/9/21,ESVUFR,
626,TW0003653002,3653,健策,上市,股票,電子零組件業,2009/11/18,ESVUFR,
627,KYG022421088,3661,世芯-KY,上市,股票,半導體業,2014/10/28,ESVUFR,
628,KYG114741062,3665,貿聯-KY,上市,股票,其他電子業,2011/4/21,ESVUFR,
629,TW0003669008,3669,圓展,上市,股票,通信網路業,2011/8/25,ESVUFR,
630,KYG898431096,3673,TPK-KY,上市,股票,光電業,2010/10/29,ESVTFR,
631,TW0003679007,3679,新至陞,上市,股票,電子零組件業,2011/10/5,ESVUFR,
632,TW0003686002,3686,達能,上市,股票,半導體業,2010/7/20,ESVUFR,
633,TW0003694006,3694,海華,上市,股票,通信網路業,2011/5/3,ESVUFR,
634,TW0003701009,3701,大眾控,上市,股票,電腦及週邊設備業,2004/8/30,ESVUFR,
635,TW0003702007,3702,大聯大,上市,股票,電子通路業,2005/11/9,ESVUFR,
636,TW0003703005,3703,欣陸,上市,股票,建材營造業,2010/4/8,ESVUFR,
637,TW0003704003,3704,合勤控,上市,股票,通信網路業,2010/8/16,ESVUFR,
638,TW0003705000,3705,永信,上市,股票,生技醫療業,2011/1/3,ESVUFR,
639,TW0003706008,3706,神達,上市,股票,電腦及週邊設備業,2013/9/12,ESVUFR,
640,TW0003708004,3708,上緯投控,上市,股票,綠能環保,2016/8/31,ESVUFR,
641,TW0003711008,3711,日月光投控,上市,股票,半導體業,2018/4/30,ESVUFR,
642,TW0003712006,3712,永崴投控,上市,股票,電腦及週邊設備業,2018/10/1,ESVUFR,
643,TW0003714002,3714,富采,上市,股票,光電業,2021/1/6,ESVUFR,
644,TW0003715009,3715,定穎投控,上市,股票,電子零組件業,2022/8/25,ESVUFR,
645,TW0003716007,3716,中化控股,上市,股票,生技醫療業,2024/9/2,ESVUFR,
646,TW0003717005,3717,聯嘉投控,上市,股票,汽車工業,2018/5/9,ESVUFR,
647,TW0004104005,4104,佳醫,上市,股票,生技醫療業,2007/12/31,ESVUFR,
648,TW0004106000,4106,雃博,上市,股票,生技醫療業,2004/11/8,ESVUFR,
649,TW0004108006,4108,懷特,上市,股票,生技醫療業,2008/7/16,ESVUFR,
650,TW0004119003,4119,旭富,上市,股票,生技醫療業,2004/1/7,ESVUFR,
651,TW0004133004,4133,亞諾法,上市,股票,生技醫療業,2009/12/28,ESVUFR,
652,KYG211641017,4137,麗豐-KY,上市,股票,生技醫療業,2013/11/27,ESVUFR,
653,TW0004142005,4142,國光生,上市,股票,生技醫療業,2012/5/3,ESVUFR,
654,KYG0232P1072,4148,全宇生技-KY,上市,股票,生技醫療業,2017/6/8,ESVUFR,
655,TW0004155007,4155,訊映,上市,股票,生技醫療業,2017/12/5,ESVUFR,
656,TW0004164009,4164,承業醫,上市,股票,生技醫療業,2012/10/24,ESVUFR,
657,KYG518761039,4190,佐登-KY,上市,股票,生技醫療業,2015/10/21,ESVUFR,
658,TW0004306006,4306,炎洲,上市,股票,塑膠工業,2008/1/21,ESVUFR,
659,TW0004414008,4414,如興,上市,股票,紡織纖維,2004/9/6,ESVUFR,
660,TW0004426002,4426,利勤,上市,股票,紡織纖維,2011/12/16,ESVUFR,
661,TW0004438007,4438,廣越,上市,股票,紡織纖維,2016/10/18,ESVUFR,
662,KYG9114F1037,4439,冠星-KY,上市,股票,紡織纖維,2019/12/5,ESVUFR,
663,TW0004440003,4440,宜新實業,上市,股票,紡織纖維,2021/10/25,ESVUFR,
664,TW0004441001,4441,振大環球,上市,股票,紡織纖維,2025/9/9,ESVUFR,
665,TW0004526009,4526,東台,上市,股票,電機機械,2003/9/15,ESVUFR,
666,TW0004532007,4532,瑞智,上市,股票,電機機械,2003/8/4,ESVUFR,
667,TW0004536008,4536,拓凱,上市,股票,運動休閒,2013/10/9,ESVUFR,
668,TW0004540000,4540,全球傳動,上市,股票,電機機械,2018/8/15,ESVUFR,
669,TW0004545009,4545,銘鈺,上市,股票,電子零組件業,2016/1/6,ESVUFR,
670,TW0004551007,4551,智伸科,上市,股票,汽車工業,2015/8/10,ESVUFR,
671,KYG5479W1033,4552,力達-KY,上市,股票,電機機械,2016/7/20,ESVUFR,
672,TW0004555008,4555,氣立,上市,股票,電機機械,2015/10/27,ESVUFR,
673,KYG988461011,4557,永新-KY,上市,股票,汽車工業,2015/10/12,ESVUFR,
674,KYG853531039,4560,強信-KY,上市,股票,電機機械,2017/5/26,ESVUFR,
675,TW0004562004,4562,穎漢,上市,股票,電機機械,2017/8/21,ESVUFR,
676,TW0004564000,4564,元翎,上市,股票,電機機械,2019/3/7,ESVUFR,
677,TW0004566005,4566,時碩工業,上市,股票,電機機械,2018/2/5,ESVUFR,
678,KYG8192T1004,4569,六方科-KY,上市,股票,汽車工業,2023/7/31,ESVUFR,
679,KYG5258M1024,4571,鈞興-KY,上市,股票,電機機械,2019/9/17,ESVUFR,
680,TW0004572003,4572,駐龍,上市,股票,電機機械,2019/9/10,ESVUFR,
681,TW0004576004,4576,大銀微系統,上市,股票,電機機械,2019/9/4,ESVUFR,
682,KYG977291007,4581,光隆精密-KY,上市,股票,汽車工業,2020/3/9,ESVUFR,
683,TW0004583000,4583,台灣精銳,上市,股票,電機機械,2022/5/9,ESVUFR,
684,TW0004585005,4585,達明,上市,股票,其他電子業,2025/9/26,ESVUFR,
685,TW0004588009,4588,玖鼎電力,上市,股票,其他電子業,2024/1/29,ESVUFR,
686,TW0004720008,4720,德淵,上市,股票,化學工業,2015/6/24,ESVUFR,
687,TW0004722004,4722,國精化,上市,股票,化學工業,2012/8/15,ESVUFR,
688,TW0004736004,4736,泰博,上市,股票,生技醫療業,2023/12/22,ESVUFR,
689,TW0004737002,4737,華廣,上市,股票,生技醫療業,2010/12/23,ESVUFR,
690,TW0004739008,4739,康普,上市,股票,化學工業,2017/9/8,ESVUFR,
691,TW0004746003,4746,台耀,上市,股票,生技醫療業,2011/3/1,ESVUFR,
692,TW0004755004,4755,三福化,上市,股票,化學工業,2013/11/27,ESVUFR,
693,KYG5138S1057,4763,材料*-KY,上市,股票,化學工業,2015/11/9,ESVUFR,
694,TW0004764006,4764,雙鍵,上市,股票,化學工業,2018/1/4,ESVUFR,
695,TW0004766001,4766,南寶,上市,股票,化學工業,2018/11/28,ESVUFR,
696,TW0004770003,4770,上品,上市,股票,化學工業,2021/12/22,ESVUFR,
697,TW0004771001,4771,望隼,上市,股票,生技醫療業,2024/3/18,ESVUFR,
698,KYG7473R1065,4807,日成-KY,上市,股票,貿易百貨業,2017/6/26,ESVUFR,
699,TW0004904008,4904,遠傳,上市,股票,通信網路業,2005/8/24,ESVUFR,
700,TW0004906003,4906,正文,上市,股票,通信網路業,2003/6/30,ESVUFR,
701,KYG545091079,4912,聯德控股-KY,上市,股票,電子零組件業,2015/5/21,ESVUFR,
702,TW0004915004,4915,致伸,上市,股票,電子零組件業,2012/10/5,ESVUFR,
703,TW0004916002,4916,事欣科,上市,股票,電腦及週邊設備業,2013/11/21,ESVUFR,
704,TW0004919006,4919,新唐,上市,股票,半導體業,2010/9/27,ESVUFR,
705,KYG0407M1033,4927,泰鼎-KY,上市,股票,電子零組件業,2015/9/8,ESVUFR,
706,TW0004930003,4930,燦星網,上市,股票,電器電纜,2010/6/21,ESVUFR,
707,TW0004934005,4934,太極,上市,股票,光電業,2010/3/10,ESVUFR,
708,KYG3931M1024,4935,茂林-KY,上市,股票,光電業,2011/7/28,ESVUFR,
709,TW0004938006,4938,和碩,上市,股票,電腦及週邊設備業,2010/6/24,ESVUFR,
710,TW0004942008,4942,嘉彰,上市,股票,光電業,2011/6/27,ESVUFR,
711,KYG2346M1033,4943,康控-KY,上市,股票,電子零組件業,2016/11/11,ESVUFR,
712,TW0004949003,4949,有成精密,上市,股票,光電業,2024/5/9,ESVUFR,
713,TW0004952007,4952,凌通,上市,股票,半導體業,2011/11/1,ESVUFR,
714,TW0004956008,4956,光鋐,上市,股票,光電業,2011/10/24,ESVUFR,
715,KYG989221000,4958,臻鼎-KY,上市,股票,電子零組件業,2011/12/26,ESVUFR,
716,TW0004960000,4960,誠美材,上市,股票,光電業,2011/10/24,ESVUFR,
717,TW0004961008,4961,天鈺,上市,股票,半導體業,2018/10/17,ESVUFR,
718,TW0004967005,4967,十銓,上市,股票,半導體業,2019/1/14,ESVUFR,
719,TW0004968003,4968,立積,上市,股票,半導體業,2015/11/13,ESVUFR,
720,TW0004976006,4976,佳凌,上市,股票,光電業,2012/11/20,ESVUFR,
721,KYG6956N1034,4977,眾達-KY,上市,股票,通信網路業,2013/11/20,ESVUFR,
722,TW0004989009,4989,榮科,上市,股票,電子零組件業,2018/6/28,ESVUFR,
723,TW0004994009,4994,傳奇,上市,股票,資訊服務業,2013/12/25,ESVUFR,
724,TW0004999008,4999,鑫禾,上市,股票,電子零組件業,2013/6/3,ESVUFR,
725,TW0005007009,5007,三星,上市,股票,鋼鐵工業,2011/9/16,ESVUFR,
726,TW0005203004,5203,訊連,上市,股票,資訊服務業,2004/9/27,ESVUFR,
727,KYG530791022,5215,科嘉-KY,上市,股票,電腦及週邊設備業,2011/12/26,ESVUFR,
728,TW0005222004,5222,全訊,上市,股票,半導體業,2021/10/25,ESVUFR,
729,KYG291021031,5225,東科-KY,上市,股票,其他電子業,2012/11/5,ESVUFR,
730,TW0005234009,5234,達興材料,上市,股票,光電業,2012/7/16,ESVUFR,
731,KYG312361051,5243,乙盛-KY,上市,股票,光電業,2013/11/25,ESVUFR,
732,TW0005244008,5244,弘凱,上市,股票,光電業,2022/1/19,ESVUFR,
733,TW0005258008,5258,虹堡,上市,股票,電腦及週邊設備業,2016/12/30,ESVUFR,
734,TW0005269005,5269,祥碩,上市,股票,半導體業,2012/12/12,ESVUFR,
735,TW0005283006,5283,禾聯碩,上市,股票,電器電纜,2019/5/24,ESVUFR,
736,KYG521131006,5284,jpp-KY,上市,股票,其他業,2017/3/9,ESVUFR,
737,TW0005285001,5285,界霖,上市,股票,半導體業,2014/2/25,ESVUFR,
738,KYG314551014,5288,豐祥-KY,上市,股票,電機機械,2014/9/25,ESVUFR,
739,TW0005292007,5292,華懋,上市,股票,綠能環保,2020/1/7,ESVUFR,
740,TW0005306005,5306,桂盟,上市,股票,運動休閒,2022/3/8,ESVUFR,
741,TW0005388003,5388,中磊,上市,股票,通信網路業,2007/12/3,ESVUFR,
742,TW0005434005,5434,崇越,上市,股票,電子通路業,2003/8/25,ESVUFR,
743,TW0005469001,5469,瀚宇博,上市,股票,電子零組件業,2003/8/25,ESVUFR,
744,TW0005471007,5471,松翰,上市,股票,半導體業,2003/8/25,ESVUFR,
745,TW0005484000,5484,慧友,上市,股票,光電業,2003/8/25,ESVUFR,
746,TW0005515001,5515,建國,上市,股票,建材營造業,2003/10/6,ESVUFR,
747,TW0005519003,5519,隆大,上市,股票,建材營造業,2014/2/10,ESVUFR,
748,TW0005521009,5521,工信,上市,股票,建材營造業,2012/12/18,ESVUFR,
749,TW0005522007,5522,遠雄,上市,股票,建材營造業,2007/8/6,ESVUFR,
750,TW0005525000,5525,順天,上市,股票,建材營造業,2004/11/26,ESVUFR,
751,TW0005531008,5531,鄉林,上市,股票,建材營造業,2005/1/31,ESVUFR,
752,TW0005533004,5533,皇鼎,上市,股票,建材營造業,2008/4/30,ESVUFR,
753,TW0005534002,5534,長虹,上市,股票,建材營造業,2004/5/24,ESVUFR,
754,KYG8919A1031,5538,東明-KY,上市,股票,鋼鐵工業,2013/12/16,ESVUFR,
755,KYG566541093,5546,永固-KY,上市,股票,建材營造業,2020/5/20,ESVUFR,
756,TW0005607006,5607,遠雄港,上市,股票,航運業,2004/12/2,ESVUFR,
757,TW0005608004,5608,四維航,上市,股票,航運業,2003/8/25,ESVUFR,
758,TW0005706006,5706,鳳凰,上市,股票,觀光餐旅,2011/10/21,ESVUFR,
759,KYG202881093,5871,中租-KY,上市,股票,其他業,2011/12/13,ESVUFR,
760,TW0005876007,5876,上海商銀,上市,股票,金融保險業,2018/10/19,ESVUFR,
761,TW0005880009,5880,合庫金,上市,股票,金融保險業,2011/12/1,ESVUFR,
762,KYG8661M1078,5906,台南-KY,上市,股票,貿易百貨業,2011/10/24,ESVUFR,
763,KYG4064G1029,5907,大洋-KY,上市,股票,貿易百貨業,2012/6/6,ESVUFR,
764,TW0006005002,6005,群益證,上市,股票,金融保險業,2005/11/21,ESVUFR,
765,TW0006024003,6024,群益期,上市,股票,金融保險業,2017/10/16,ESVUFR,
766,TW0006108004,6108,競國,上市,股票,電子零組件業,2008/12/30,ESVUFR,
767,TW0006112006,6112,邁達特,上市,股票,資訊服務業,2003/8/4,ESVUFR,
768,TW0006115009,6115,鎰勝,上市,股票,電子零組件業,2004/7/19,ESVUFR,
769,TW0006116007,6116,彩晶,上市,股票,光電業,2004/9/6,ESVUFR,
770,TW0006117005,6117,迎廣,上市,股票,電腦及週邊設備業,2003/8/25,ESVUFR,
771,TW0006120009,6120,達運,上市,股票,光電業,2006/9/13,ESVUFR,
772,TW0006128002,6128,上福,上市,股票,電腦及週邊設備業,2003/6/16,ESVUFR,
773,TW0006133002,6133,金橋,上市,股票,電子零組件業,2003/8/15,ESVUFR,
774,TW0006136005,6136,富爾特,上市,股票,通信網路業,2003/8/25,ESVUFR,
775,TW0006139009,6139,亞翔,上市,股票,其他電子業,2003/8/25,ESVUFR,
776,TW0006141005,6141,柏承,上市,股票,電子零組件業,2003/10/22,ESVUFR,
777,TW0006142003,6142,友勁,上市,股票,通信網路業,2003/8/4,ESVUFR,
778,TW0006152002,6152,百一,上市,股票,通信網路業,2009/12/8,ESVUFR,
779,TW0006153000,6153,嘉聯益,上市,股票,電子零組件業,2008/1/21,ESVUFR,
780,TW0006155005,6155,鈞寶,上市,股票,電子零組件業,2006/8/18,ESVUFR,
781,TW0006164007,6164,華興,上市,股票,光電業,2008/10/21,ESVUFR,
782,TW0006165004,6165,浪凡,上市,股票,數位雲端,2003/8/4,ESVUFR,
783,TW0006166002,6166,凌華,上市,股票,電腦及週邊設備業,2004/11/8,ESVUFR,
784,TW0006168008,6168,宏齊,上市,股票,光電業,2003/8/25,ESVUFR,
785,TW0006176001,6176,瑞儀,上市,股票,光電業,2007/5/15,ESVUFR,
786,TW0006177009,6177,達麗,上市,股票,建材營造業,2013/8/1,ESVUFR,
787,TW0006183007,6183,關貿,上市,股票,資訊服務業,2011/12/1,ESVUFR,
788,TW0006184005,6184,大豐電,上市,股票,其他業,2005/2/15,ESVUFR,
789,TW0006189004,6189,豐藝,上市,股票,電子通路業,2004/5/24,ESVUFR,
790,TW0006191000,6191,精成科,上市,股票,電子零組件業,2007/10/19,ESVUFR,
791,TW0006192008,6192,巨路,上市,股票,其他電子業,2004/9/27,ESVUFR,
792,TW0006196009,6196,帆宣,上市,股票,其他電子業,2004/5/24,ESVUFR,
793,TW0006197007,6197,佳必琪,上市,股票,電子零組件業,2004/11/8,ESVUFR,
794,TW0006201007,6201,亞弘電,上市,股票,其他電子業,2004/9/27,ESVUFR,
795,TW0006202005,6202,盛群,上市,股票,半導體業,2004/9/27,ESVUFR,
796,TW0006205008,6205,詮欣,上市,股票,電子零組件業,2008/1/21,ESVUFR,
797,TW0006206006,6206,飛捷,上市,股票,電腦及週邊設備業,2004/8/3,ESVUFR,
798,TW0006209000,6209,今國光,上市,股票,光電業,2004/11/8,ESVUFR,
799,TW0006213002,6213,聯茂,上市,股票,電子零組件業,2008/1/21,ESVUFR,
800,TW0006214000,6214,精誠,上市,股票,資訊服務業,2010/12/30,ESVUFR,
801,TW0006215007,6215,和椿,上市,股票,其他電子業,2007/12/31,ESVUFR,
802,TW0006216005,6216,居易,上市,股票,通信網路業,2004/9/27,ESVUFR,
803,TW0006224009,6224,聚鼎,上市,股票,電子零組件業,2009/9/17,ESVUFR,
804,TW0006225006,6225,天瀚,上市,股票,光電業,2004/9/27,ESVUFR,
805,TW0006226004,6226,光鼎,上市,股票,光電業,2008/11/10,ESVUFR,
806,TW0006230006,6230,尼得科超眾,上市,股票,電腦及週邊設備業,2010/9/16,ESVUFR,
807,TW0006235005,6235,華孚,上市,股票,電腦及週邊設備業,2004/8/23,ESVUFR,
808,TW0006239007,6239,力成,上市,股票,半導體業,2004/11/8,ESVUFR,
809,TW0006243009,6243,迅杰,上市,股票,半導體業,2009/12/17,ESVUFR,
810,TW0006257009,6257,矽格,上市,股票,半導體業,2003/8/25,ESVUFR,
811,TW0006269004,6269,台郡,上市,股票,電子零組件業,2003/9/23,ESVUFR,
812,TW0006271000,6271,同欣電,上市,股票,半導體業,2007/11/16,ESVUFR,
813,TW0006272008,6272,驊陞,上市,股票,電子零組件業,2025/12/22,ESVUFR,
814,TW0006277007,6277,宏正,上市,股票,電腦及週邊設備業,2003/10/30,ESVUFR,
815,TW0006278005,6278,台表科,上市,股票,光電業,2010/8/24,ESVUFR,
816,TW0006281009,6281,全國電,上市,股票,電子通路業,2005/12/8,ESVUFR,
817,TW0006282007,6282,康舒,上市,股票,電子零組件業,2003/9/8,ESVUFR,
818,TW0006283005,6283,淳安,上市,股票,其他電子業,2008/1/21,ESVUFR,
819,TW0006285000,6285,啟碁,上市,股票,通信網路業,2003/9/22,ESVUFR,
820,TW0006405004,6405,悅城,上市,股票,光電業,2013/11/28,ESVUFR,
821,TW0006409006,6409,旭隼,上市,股票,其他電子業,2014/3/31,ESVUFR,
822,TW0006412000,6412,群電,上市,股票,電子零組件業,2013/11/8,ESVUFR,
823,TW0006414006,6414,樺漢,上市,股票,電腦及週邊設備業,2014/3/28,ESVUFR,
824,KYG8190F1028,6415,矽力*-KY,上市,股票,半導體業,2013/12/12,ESVUFR,
825,TW0006416001,6416,瑞祺電通,上市,股票,通信網路業,2018/4/16,ESVUFR,
826,TW0006426000,6426,統新,上市,股票,通信網路業,2021/3/24,ESVUFR,
827,KYG532651075,6431,光麗-KY,上市,股票,生技醫療業,2014/12/4,ESVUFR,
828,TW0006438005,6438,迅得,上市,股票,其他電子業,2021/1/19,ESVUFR,
829,TW0006442007,6442,光聖,上市,股票,通信網路業,2015/7/14,ESVUFR,
830,TW0006443005,6443,元晶,上市,股票,光電業,2015/10/1,ESVUFR,
831,TW0006446008,6446,藥華藥,上市,股票,生技醫療業,2024/1/25,ESVUFR,
832,TW0006449002,6449,鈺邦,上市,股票,電子零組件業,2014/12/9,ESVUFR,
833,KYG811801045,6451,訊芯-KY,上市,股票,半導體業,2015/1/26,ESVUFR,
834,KYG3808R1011,6456,GIS-KY,上市,股票,光電業,2015/6/12,ESVUFR,
835,TW0006464001,6464,台數科,上市,股票,其他業,2015/12/16,ESVUFR,
836,TW0006472004,6472,保瑞,上市,股票,生技醫療業,2023/12/19,ESVUFR,
837,TW0006477003,6477,安集,上市,股票,光電業,2016/6/21,ESVUFR,
838,TW0006491004,6491,晶碩,上市,股票,生技醫療業,2019/10/7,ESVUFR,
839,TW0006504004,6504,南六,上市,股票,其他業,2013/5/7,ESVUFR,
840,TW0006505001,6505,台塑化,上市,股票,油電燃氣業,2003/12/26,ESVUFR,
841,TW0006515000,6515,穎崴,上市,股票,半導體業,2021/1/20,ESVUFR,
842,KYG3790U1040,6525,捷敏-KY,上市,股票,半導體業,2016/4/12,ESVUFR,
843,TW0006526007,6526,達發,上市,股票,半導體業,2023/10/19,ESVUFR,
844,TW0006531007,6531,愛普*,上市,股票,半導體業,2016/5/31,ESVUFR,
845,TW0006533003,6533,晶心科,上市,股票,半導體業,2017/3/14,ESVUFR,
846,KYG8676P1037,6541,泰福-KY,上市,股票,生技醫療業,2017/10/26,ESVUFR,
847,KYG7171A1085,6550,北極星藥業-KY,上市,股票,生技醫療業,2022/6/6,ESVUFR,
848,TW0006552003,6552,易華電,上市,股票,半導體業,2017/1/10,ESVUFR,
849,TW0006558000,6558,興能高,上市,股票,其他電子業,2018/12/5,ESVUFR,
850,KYG4712A1013,6573,虹揚-KY,上市,股票,半導體業,2017/9/26,ESVUFR,
851,TW0006579006,6579,研揚,上市,股票,電腦及週邊設備業,2017/8/21,ESVUFR,
852,TW0006581002,6581,鋼聯,上市,股票,綠能環保,2018/1/30,ESVUFR,
853,TW0006582000,6582,申豐,上市,股票,橡膠工業,2017/6/14,ESVUFR,
854,TW0006585003,6585,鼎基,上市,股票,其他業,2022/5/20,ESVUFR,
855,TW0006589005,6589,台康生技,上市,股票,生技醫療業,2025/7/21,ESVUFR,
856,KYG8587R1074,6591,動力-KY,上市,股票,電腦及週邊設備業,2017/12/28,ESVUFR,
857,TW0006592009,6592,和潤企業,上市,股票,其他業,2019/12/9,ESVUFR,
858,KYG0488D1051,6598,ABC-KY,上市,股票,生技醫療業,2020/6/9,ESVUFR,
859,TW0006605009,6605,帝寶,上市,股票,汽車工業,2004/3/17,ESVUFR,
860,TW0006606007,6606,建德工業,上市,股票,電機機械,2023/3/24,ESVUFR,
861,TW0006614001,6614,資拓宏宇,上市,股票,數位雲端,2025/11/25,ESVUFR,
862,TW0006625007,6625,必應,上市,股票,其他業,2018/2/7,ESVUFR,
863,KYG416551045,6641,基士德-KY,上市,股票,綠能環保,2018/9/21,ESVUFR,
864,TW0006655004,6655,科定,上市,股票,其他業,2018/11/28,ESVUFR,
865,TW0006657000,6657,華安,上市,股票,生技醫療業,2023/6/12,ESVUFR,
866,TW0006658008,6658,聯策,上市,股票,其他電子業,2023/11/2,ESVUFR,
867,KYG569831020,6666,羅麗芬-KY,上市,股票,生技醫療業,2018/11/19,ESVUFR,
868,TW0006668007,6668,中揚光,上市,股票,光電業,2018/12/12,ESVUFR,
869,TW0006669005,6669,緯穎,上市,股票,電腦及週邊設備業,2019/3/27,ESVUFR,
870,TW0006670003,6670,復盛應用,上市,股票,運動休閒,2018/12/18,ESVUFR,
871,KYG7806W1033,6671,三能-KY,上市,股票,居家生活,2018/12/11,ESVUFR,
872,KYG9353A1040,6672,騰輝電子-KY,上市,股票,電子零組件業,2019/4/17,ESVUFR,
873,TW0006674005,6674,鋐寶科技,上市,股票,通信網路業,2018/11/28,ESVUFR,
874,TW0006689003,6689,伊雲谷,上市,股票,數位雲端,2022/9/13,ESVUFR,
875,TW0006691009,6691,洋基工程,上市,股票,其他電子業,2022/1/3,ESVUFR,
876,TW0006695000,6695,芯鼎,上市,股票,半導體業,2022/11/4,ESVUFR,
877,TW0006698004,6698,旭暉應材,上市,股票,其他電子業,2019/11/25,ESVUFR,
878,TW0006706005,6706,惠特,上市,股票,光電業,2019/12/19,ESVUFR,
879,TW0006715006,6715,嘉基,上市,股票,電子零組件業,2019/12/12,ESVUFR,
880,TW0006719008,6719,力智,上市,股票,半導體業,2022/1/13,ESVUFR,
881,TW0006722002,6722,輝創,上市,股票,其他電子業,2026/1/16,ESVUFR,
882,TW0006742000,6742,澤米,上市,股票,光電業,2023/12/5,ESVUFR,
883,TW0006743008,6743,安普新,上市,股票,其他電子業,2020/12/14,ESVUFR,
884,TW0006753007,6753,龍德造船,上市,股票,航運業,2023/3/10,ESVUFR,
885,TW0006754005,6754,匯僑設計,上市,股票,居家生活,2020/8/25,ESVUFR,
886,TW0006756000,6756,威鋒電子,上市,股票,半導體業,2020/12/24,ESVUFR,
887,TW0006757008,6757,台灣虎航,上市,股票,航運業,2024/11/29,ESVUFR,
888,KYG8368S1003,6768,志強-KY,上市,股票,運動休閒,2021/4/22,ESVUFR,
889,TW0006770001,6770,力積電,上市,股票,半導體業,2021/12/6,ESVUFR,
890,TW0006776008,6776,展碁國際,上市,股票,電子通路業,2021/3/31,ESVUFR,
891,KYG0097V1086,6781,AES-KY,上市,股票,電子零組件業,2021/3/22,ESVUFR,
892,TW0006782006,6782,視陽,上市,股票,生技醫療業,2022/11/28,ESVUFR,
893,TW0006789001,6789,采鈺,上市,股票,半導體業,2022/6/30,ESVUFR,
894,TW0006790009,6790,永豐實,上市,股票,造紙工業,2021/9/29,ESVUFR,
895,TW0006792005,6792,詠業,上市,股票,通信網路業,2021/12/8,ESVUFR,
896,TW0006794001,6794,向榮生技,上市,股票,生技醫療業,2025/10/16,ESVUFR,
897,TW0006796006,6796,晉弘,上市,股票,生技醫療業,2022/6/1,ESVUFR,
898,TW0006799000,6799,來頡,上市,股票,半導體業,2022/5/12,ESVUFR,
899,TW0006805005,6805,富世達,上市,股票,電子零組件業,2023/11/9,ESVUFR,
900,TW0006806003,6806,森崴能源,上市,股票,綠能環保,2021/11/15,ESVUFR,
901,KYG3425A1013,6807,峰源-KY,上市,股票,居家生活,2022/4/25,ESVUFR,
902,TW0006830003,6830,汎銓,上市,股票,其他電子業,2022/8/31,ESVUFR,
903,TW0006831001,6831,邁科,上市,股票,電腦及週邊設備業,2025/11/25,ESVUFR,
904,TW0006834005,6834,天二科技,上市,股票,電子零組件業,2022/9/1,ESVUFR,
905,TW0006835002,6835,圓裕,上市,股票,電子零組件業,2022/11/10,ESVUFR,
906,TW0006838006,6838,台新藥,上市,股票,生技醫療業,2024/8/13,ESVUFR,
907,TW0006861008,6861,睿生光電,上市,股票,生技醫療業,2023/3/27,ESVUFR,
908,KYG9066C1087,6862,三集瑞-KY,上市,股票,電子零組件業,2024/10/23,ESVUFR,
909,KYG0478A1031,6863,永道-KY,上市,股票,通信網路業,2023/3/21,ESVUFR,
910,TW0006869001,6869,雲豹能源,上市,股票,綠能環保,2024/6/19,ESVUFR,
911,TW0006873003,6873,泓德能源,上市,股票,綠能環保,2024/9/26,ESVUFR,
912,TW0006885007,6885,全福生技,上市,股票,生技醫療業,2024/12/16,ESVUFR,
913,KYG1462B1077,6887,寶綠特-KY,上市,股票,綠能環保,2025/3/10,ESVUFR,
914,KYG5353T1013,6890,來億-KY,上市,股票,運動休閒,2024/6/12,ESVUFR,
915,TW0006901002,6901,鑽石投資,上市,股票,其他業,2023/9/19,ESVUFR,
916,TW0006902000,6902,GOGOLOOK,上市,股票,數位雲端,2025/5/16,ESVUFR,
917,TW0006906001,6906,現觀科,上市,股票,數位雲端,2024/1/15,ESVUFR,
918,TW0006909005,6909,創控,上市,股票,半導體業,2025/5/21,ESVUFR,
919,TW0006914005,6914,阜爾運通,上市,股票,其他業,2024/5/3,ESVUFR,
920,TW0006916000,6916,華凌,上市,股票,光電業,2023/12/5,ESVUFR,
921,TW0006918006,6918,愛派司,上市,股票,生技醫療業,2025/6/10,ESVUFR,
922,TW0006919004,6919,康霈*,上市,股票,生技醫療業,2024/10/2,ESVUFR,
923,TW0006923006,6923,中台,上市,股票,綠能環保,2024/9/25,ESVUFR,
924,TW0006928005,6928,攸泰科技,上市,股票,電腦及週邊設備業,2024/5/16,ESVUFR,
925,TW0006931009,6931,青松健康,上市,股票,生技醫療業,2025/1/15,ESVUFR,
926,KYG0249M1050,6933,AMAX-KY,上市,股票,電腦及週邊設備業,2023/11/8,ESVUFR,
