date,dividend
2001-08-30,0.1245
2002-08-29,0.976
2003-08-19,2.8341
2004-07-29,4.672
2005-08-10,6.9318
2006-08-02,7.6249
2007-07-25,13.1802
2008-07-16,18.224
2009-07-17,13.7255
2010-07-28,24.9884
2011-07-08,19.9999
2012-07-16,8.9998
2013-07-16,9.0
2014-07-04,15.0
2015-07-15,21.9999
2016-07-15,11.0
2017-07-06,8.0
2018-07-09,10.0
2019-07-08,9.0
2020-07-06,10.5009
2021-07-06,37.0
2022-06-23,73.0011
2023-06-20,76.0066
2024-01-04,24.6
2024-07-04,30.4053
2025-01-02,29.0
2025-07-03,25.0002
2026-01-06,29.0
2026-07-07,24.5002
