date,dividend
2002-08-28,1.2539
2003-07-28,3.2108
2004-08-17,4.2383
2005-08-11,3.8462
2006-08-10,5.983
2007-08-10,10.5318
2008-08-12,9.4195
2009-08-10,9.8039
2010-08-06,10.0
2011-08-04,13.5
2012-08-09,17.0
2013-08-23,17.0
2014-08-21,28.5
2015-08-17,51.0
2016-08-18,63.5
2017-08-17,63.5
2018-08-16,72.5
2019-08-06,68.0
2020-08-11,79.0
2021-08-10,91.5
2022-01-12,31.1561
2022-03-15,39.0
2022-08-18,39.5
2023-03-16,46.0
2023-08-17,26.5
2024-03-21,41.0
2024-08-15,40.0
2025-03-20,57.5
2025-08-14,28.0
2026-03-19,52.0
2026-08-13,41.5
