date,dividend
2023-07-19,0.11
2023-08-17,0.11
2023-09-19,0.11
2023-10-24,0.11
2023-11-21,0.11
2023-12-19,0.11
2024-01-18,0.13
2024-02-29,0.13
2024-03-19,0.13
2024-04-23,0.2
2024-05-21,0.2
2024-06-20,0.2
2024-07-17,0.18
2024-08-20,0.18
2024-09-19,0.16
2024-10-22,0.14
2024-11-19,0.11
2024-12-18,0.05
2025-01-16,0.05
2025-02-19,0.05
2025-03-19,0.05
2025-04-22,0.05
2025-05-20,0.07
2025-06-18,0.07
2025-07-17,0.07
2025-08-19,0.08
2025-09-17,0.08
2025-10-21,0.08
2025-11-19,0.09
2025-12-17,0.09
2026-01-20,0.1
2026-03-03,0.1
2026-03-18,0.11
2026-04-21,0.13
2026-05-20,0.13
2026-06-17,0.26
2026-07-21,0.38
