date,close
2020-07-10,10.28
2020-07-13,10.27
2020-07-14,10.27
2020-07-15,10.25
2020-07-16,10.26
2020-07-17,10.21
2020-07-20,10.5
2020-07-21,10.79
2020-07-22,10.49
2020-07-23,10.38
2020-07-24,10.32
2020-07-27,10.27
2020-07-28,10.18
2020-07-29,10.2
2020-07-30,10.28
2020-07-31,10.32
2020-08-03,10.27
2020-08-04,10.3
2020-08-05,10.39
2020-08-06,10.38
2020-08-07,10.35
2020-08-10,10.38
2020-08-11,10.34
2020-08-12,10.29
2020-08-13,10.33
2020-08-14,10.38
2020-08-17,10.47
2020-08-18,10.47
2020-08-19,10.41
2020-08-20,10.19
2020-08-21,10.21
2020-08-24,10.24
2020-08-25,10.28
2020-08-26,10.3
2020-08-27,10.27
2020-08-28,10.26
2020-08-31,10.19
2020-09-01,10.18
2020-09-02,10.17
2020-09-03,10.2
2020-09-04,10.12
2020-09-07,10.14
2020-09-08,10.15
2020-09-09,10.11
2020-09-10,10.13
2020-09-11,10.12
2020-09-14,10.19
2020-09-15,10.21
2020-09-16,10.21
2020-09-17,10.14
2020-09-18,10.17
2020-09-21,10.1
2020-09-22,10.04
2020-09-23,10.01
2020-09-24,9.82
2020-09-25,9.76
2020-09-28,9.94
2020-09-29,9.96
2020-09-30,9.99
2020-10-05,9.97
2020-10-06,10.01
2020-10-07,10.01
2020-10-08,10.05
2020-10-12,10.04
2020-10-13,10.02
2020-10-14,10.03
2020-10-15,9.99
2020-10-16,9.94
2020-10-19,9.97
2020-10-20,9.95
2020-10-21,9.94
2020-10-22,9.94
2020-10-23,9.97
2020-10-26,10.01
2020-10-27,9.99
2020-10-28,9.97
2020-10-29,9.93
2020-10-30,9.88
2020-11-02,9.88
2020-11-03,9.95
2020-11-04,9.99
2020-11-05,10.01
2020-11-06,10.04
2020-11-09,10.12
2020-11-10,10.14
2020-11-11,10.27
2020-11-12,10.24
2020-11-13,10.26
2020-11-16,10.35
2020-11-17,10.41
2020-11-18,10.47
2020-11-19,10.46
2020-11-20,10.47
2020-11-23,10.59
2020-11-24,10.56
2020-11-25,10.55
2020-11-26,10.6
2020-11-27,10.61
2020-11-30,10.56
2020-12-01,10.64
2020-12-02,10.69
2020-12-03,10.73
2020-12-04,10.84
2020-12-07,10.94
2020-12-08,11.0
2020-12-09,11.1
2020-12-10,10.99
2020-12-11,10.99
2020-12-14,10.97
2020-12-15,10.79
2020-12-16,10.95
2020-12-17,10.94
2020-12-18,10.91
2020-12-21,10.89
2020-12-22,10.8
2020-12-23,10.82
2020-12-24,10.89
2020-12-25,10.93
2020-12-28,11.02
2020-12-29,11.02
2020-12-30,11.11
2020-12-31,11.1
2021-01-04,11.14
2021-01-05,11.15
2021-01-06,11.07
2021-01-07,11.17
2021-01-08,11.35
2021-01-11,11.46
2021-01-12,11.39
2021-01-13,11.6
2021-01-14,11.69
2021-01-15,11.6
2021-01-18,11.49
2021-01-19,11.53
2021-01-20,11.28
2021-01-21,11.35
2021-01-22,11.45
2021-01-25,11.58
2021-01-26,11.47
2021-01-27,11.56
2021-01-28,11.43
2021-01-29,11.25
2021-02-01,11.31
2021-02-02,11.42
2021-02-03,11.46
2021-02-04,11.43
2021-02-05,11.51
2021-02-17,11.64
2021-02-18,11.68
2021-02-19,11.73
2021-02-22,11.86
2021-02-23,11.99
2021-02-24,11.95
2021-02-25,12.09
2021-02-26,11.89
2021-03-02,11.85
2021-03-03,11.96
2021-03-04,11.86
2021-03-05,11.79
2021-03-08,11.81
2021-03-09,11.89
2021-03-10,11.9
2021-03-11,12.06
2021-03-12,12.14
2021-03-15,12.21
2021-03-16,12.24
2021-03-17,12.21
2021-03-18,12.29
2021-03-19,12.26
2021-03-22,12.31
2021-03-23,12.35
2021-03-24,12.33
2021-03-25,12.38
2021-03-26,12.48
2021-03-29,12.63
2021-03-30,12.8
2021-03-31,12.76
2021-04-01,12.78
2021-04-07,12.85
2021-04-08,12.89
2021-04-09,12.84
2021-04-12,12.88
2021-04-13,12.83
2021-04-14,12.79
2021-04-15,12.83
2021-04-16,12.99
2021-04-19,13.15
2021-04-20,13.19
2021-04-21,13.19
2021-04-22,13.11
2021-04-23,13.14
2021-04-26,13.31
2021-04-27,13.33
2021-04-28,13.31
2021-04-29,13.28
2021-05-03,13.19
2021-05-04,13.01
2021-05-05,13.06
2021-05-06,13.09
2021-05-07,13.28
2021-05-10,13.36
2021-05-11,13.18
2021-05-12,12.43
2021-05-13,12.37
2021-05-14,12.52
2021-05-17,12.13
2021-05-18,12.6
2021-05-19,12.58
2021-05-20,12.51
2021-05-21,12.64
2021-05-24,12.6
2021-05-25,12.75
2021-05-26,12.74
2021-05-27,12.68
2021-05-28,12.8
2021-05-31,12.9
2021-06-01,13.0
2021-06-02,12.96
2021-06-03,12.96
2021-06-04,12.89
2021-06-07,12.84
2021-06-08,12.86
2021-06-09,12.78
2021-06-10,12.84
2021-06-11,12.85
2021-06-15,12.85
2021-06-16,12.87
2021-06-17,12.91
2021-06-18,12.88
2021-06-21,12.77
2021-06-22,12.73
2021-06-23,12.81
2021-06-24,12.83
2021-06-25,12.84
2021-06-28,12.86
2021-06-29,12.81
2021-06-30,12.83
2021-07-01,12.82
2021-07-02,12.84
2021-07-05,12.94
2021-07-06,12.95
2021-07-07,12.94
2021-07-08,12.98
2021-07-09,12.96
2021-07-12,12.98
2021-07-13,13.0
2021-07-14,12.99
2021-07-15,13.01
2021-07-16,13.05
2021-07-19,13.03
2021-07-20,12.93
2021-07-21,12.89
2021-07-22,12.95
2021-07-23,12.96
2021-07-26,12.94
2021-07-27,12.91
2021-07-28,12.79
2021-07-29,12.87
2021-07-30,12.85
2021-08-02,12.98
2021-08-03,13.01
2021-08-04,13.08
2021-08-05,13.12
2021-08-06,13.11
2021-08-09,13.03
