date,dividend
2001-05-28,0.3513
2002-06-20,0.9856
2003-07-24,1.194
2004-08-30,1.4606
2005-08-25,2.4752
2006-09-18,3.0388
2007-09-04,3.0991
2008-08-08,2.8206
2009-08-17,1.352
2010-08-12,2.1727
2011-08-08,2.7855
2012-08-07,2.2142
2013-08-07,2.3036
2014-07-31,2.6583
2015-08-10,1.9602
2016-08-24,2.1752
2017-08-10,2.92
2018-08-10,2.92
2019-07-22,2.92
2020-06-23,3.2
2021-06-29,3.4
2021-08-16,2.0
2022-03-18,2.5
2022-08-16,1.5
2023-03-16,3.0
2023-08-16,2.0
2024-03-27,2.506
2024-08-19,2.0
2025-03-20,2.5066
2025-08-19,2.0
2026-03-19,3.0
2026-08-19,2.5
